;;
;==  RUN; TIME;;;;;;;;;;;==  READ; TIME;;;;;;;;;;;== WRITE; TIMES
;     10000;     20000;     30000;     40000;     50000;     60000;     70000;     80000;     90000;    100000; ; ; ;     10000;     20000;     30000;     40000;     50000;     60000;     70000;     80000;     90000;    100000; ; ; ;     10000;     20000;     30000;     40000;     50000;     60000;     70000;     80000;     90000;    100000;
1 thrs;177942;372657;451520;568013;548048;431824;573507;1467266;1163704;1021379; ; ;    1 thrs;1806;1205;1070;1144;591;864;2964;1453;2842;1408; ; ;    1 thrs;29516982;28415034;42977815;51056741;50644327;25346656;35230126;118577844;126990340;119621009;
2 thrs;124205;171226;226285;331907;270752;406185;341285;392368;453665;405496; ; ;    2 thrs;1125;1020;1012;1366;727;6218;1197;858;599;1063; ; ;    2 thrs;13089941;13553673;27734364;40489336;40539254;39752216;51044611;51614246;62525951;50468911;
3 thrs;100464;155491;160328;214954;289681;382460;339632;483082;415707;532041; ; ;    3 thrs;589;622;697;653;713;543;592;620;1799;567; ; ;    3 thrs;5580183;10994748;16353328;22899698;27371403;34463148;39094406;44528565;49519519;60469946;
4 thrs;70630;125724;138940;198591;325230;1746658;1540672;1266708;1397159;1406388; ; ;    4 thrs;595;603;586;457;739;896;898;1076;563;901; ; ;    4 thrs;5512536;11252740;16483024;21830408;26596961;32715987;37406029;46652217;51699621;75637352;
5 thrs;88245;147221;396949;494804;1214237;709781;1004639;1191192;1426021;1576719; ; ;    5 thrs;858;860;1668;572;705;921;781;463;586;1140; ; ;    5 thrs;6403611;13549941;22703755;35758240;35980308;48345726;42666171;44577084;47532095;69767919;
6 thrs;116372;336356;466040;663540;840428;946257;1182492;1281359;3234645;1383230; ; ;    6 thrs;807;2473;1373;821;1258;881;1217;464;1283;766; ; ;    6 thrs;6280447;11884890;28748604;22189638;40521992;37550187;37701810;68279684;72426682;135769530;
7 thrs;99619;261962;418923;890324;659815;972675;956609;1263470;1522714;1596417; ; ;    7 thrs;788;813;1232;1507;1136;1905;719;805;654;1236; ; ;    7 thrs;30008239;78336237;54848242;91135995;144084521;88980153;173760123;119186667;69293457;76577879;
8 thrs;170611;852038;847999;620895;1040084;1422294;922883;2426244;1478150;1664624; ; ;    8 thrs;1549;606;617;603;1714;802;516;758;1202;1254; ; ;    8 thrs;6193672;13409981;51955280;73713842;133613687;166621725;108699973;99867131;127948129;134344276;
9 thrs;128795;246086;276052;520133;780176;1422596;1171836;1661483;1636525;2851449; ; ;    9 thrs;874;704;839;597;807;1843;734;1309;522;578; ; ;    9 thrs;30459842;40124508;69919075;81634615;27332681;32780836;46687673;43687409;119251982;161080729;
10 thrs;100066;712641;820760;818793;1032892;1517540;1539126;1844881;2511167;1640352; ; ;   10 thrs;569;1149;864;975;649;1537;516;687;1195;475; ; ;   10 thrs;27969030;37901019;77129319;103369850;175453165;33532418;39747084;44007917;73384471;62755951;